permutation|permutationMap|result|denot total iterations
82|{232: 11, 237: 2, 236: 242, 10: 3, 233: 10, 2: 232, 0: 0, 11: 236, 242: 233, 3: 237}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } { t = 0 & b >= 0 & a - b >= 1 & -a + b >= -175 } )|262
83|{232: 3, 237: 2, 236: 237, 10: 232, 233: 11, 2: 236, 0: 242, 11: 233, 242: 0, 3: 10}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } )|241
84|{232: 10, 237: 242, 236: 236, 10: 233, 233: 237, 2: 2, 0: 3, 11: 0, 242: 232, 3: 11}|( )|12
85|{232: 10, 237: 242, 236: 11, 10: 232, 233: 2, 2: 237, 0: 0, 11: 233, 242: 236, 3: 3}|( )|10
86|{232: 10, 237: 233, 236: 237, 10: 0, 233: 3, 2: 236, 0: 11, 11: 242, 242: 232, 3: 2}|( { t = 0 & -a + b > -67 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } )|743
87|{232: 0, 237: 242, 236: 10, 10: 2, 233: 232, 2: 237, 0: 236, 11: 3, 242: 233, 3: 11}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } { t = 0 & -a + b > -179 & b >= 0 & a - b >= 1 } )|290
88|{232: 0, 237: 10, 236: 11, 10: 233, 233: 237, 2: 3, 0: 236, 11: 242, 242: 2, 3: 232}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 & a - b > -181 } )|1008
89|{232: 11, 237: 3, 236: 233, 10: 2, 233: 232, 2: 242, 0: 237, 11: 236, 242: 10, 3: 0}|( { t = 0 & -a + b > -1 & b >= 0 & a - b > -69 & a >= 0 } { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|753
90|{232: 10, 237: 11, 236: 2, 10: 236, 233: 232, 2: 242, 0: 3, 11: 237, 242: 233, 3: 0}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b > -69 & a >= 0 } )|493
91|{232: 242, 237: 237, 236: 232, 10: 0, 233: 10, 2: 233, 0: 236, 11: 2, 242: 3, 3: 11}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|736
92|{232: 233, 237: 2, 236: 232, 10: 11, 233: 10, 2: 236, 0: 0, 11: 237, 242: 3, 3: 242}|( { t = 0 & -a + b > -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b > -177 & a >= 0 } )|488
93|{232: 10, 237: 232, 236: 242, 10: 0, 233: 237, 2: 2, 0: 233, 11: 236, 242: 3, 3: 11}|( { t = 0 & -a + b > -1 & b >= 0 & a - b > -177 & a >= 0 } { t = 0 & -a + b > -67 & b >= 0 & a - b >= 1 } )|252
94|{232: 242, 237: 2, 236: 11, 10: 0, 233: 237, 2: 232, 0: 10, 11: 236, 242: 3, 3: 233}|( )|237
95|{232: 3, 237: 232, 236: 11, 10: 242, 233: 0, 2: 236, 0: 2, 11: 237, 242: 233, 3: 10}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 & a - b > -181 } )|981
96|{232: 236, 237: 242, 236: 233, 10: 232, 233: 2, 2: 3, 0: 11, 11: 0, 242: 10, 3: 237}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } { t = 0 & -a + b > -71 & b >= 0 & a - b >= 1 } )|771
97|{232: 242, 237: 3, 236: 0, 10: 2, 233: 233, 2: 232, 0: 11, 11: 10, 242: 236, 3: 237}|( )|10
98|{232: 232, 237: 0, 236: 233, 10: 10, 233: 237, 2: 236, 0: 3, 11: 2, 242: 242, 3: 11}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b > -181 & a >= 0 } )|249
99|{232: 237, 237: 232, 236: 11, 10: 2, 233: 242, 2: 236, 0: 10, 11: 3, 242: 0, 3: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a - b > -177 & a >= 0 } { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|256
100|{232: 10, 237: 2, 236: 3, 10: 236, 233: 237, 2: 11, 0: 0, 11: 233, 242: 242, 3: 232}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|743
101|{232: 11, 237: 0, 236: 236, 10: 10, 233: 237, 2: 2, 0: 242, 11: 3, 242: 233, 3: 232}|( { t = 0 & -a + b > -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b > -177 & a >= 0 } )|28
102|{232: 232, 237: 2, 236: 242, 10: 3, 233: 236, 2: 0, 0: 237, 11: 233, 242: 11, 3: 10}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } { t = 0 & a - b = 1 & a >= 1 } )|16
