permutation|permutationMap|result|denot total iterations
72|{3: 237, 237: 11, 236: 2, 232: 232, 10: 10, 242: 242, 11: 236, 0: 0, 2: 3, 233: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } )|14
73|{3: 11, 237: 237, 236: 2, 232: 232, 10: 10, 242: 242, 11: 236, 0: 0, 2: 3, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } )|241
74|{3: 242, 237: 237, 236: 2, 232: 232, 10: 10, 242: 3, 11: 236, 0: 0, 2: 11, 233: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|10
75|{3: 237, 237: 242, 236: 2, 232: 232, 10: 10, 242: 3, 11: 236, 0: 0, 2: 11, 233: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|10
76|{3: 242, 237: 3, 236: 2, 232: 232, 10: 10, 242: 237, 11: 236, 0: 0, 2: 11, 233: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|11
77|{3: 3, 237: 242, 236: 2, 232: 232, 10: 10, 242: 237, 11: 236, 0: 0, 2: 11, 233: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|10
78|{3: 237, 237: 3, 236: 2, 232: 232, 10: 10, 242: 242, 11: 236, 0: 0, 2: 11, 233: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|10
79|{3: 3, 237: 237, 236: 2, 232: 232, 10: 10, 242: 242, 11: 236, 0: 0, 2: 11, 233: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|10
80|{3: 242, 237: 11, 236: 2, 232: 232, 10: 10, 242: 3, 11: 236, 0: 0, 2: 237, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -65 & a >= 0 } )|251
81|{3: 11, 237: 242, 236: 2, 232: 232, 10: 10, 242: 3, 11: 236, 0: 0, 2: 237, 233: 233}|( ),10
82|{3: 242, 237: 3, 236: 2, 232: 232, 10: 10, 242: 11, 11: 236, 0: 0, 2: 237, 233: 233}|( ),12
83|{3: 3, 237: 242, 236: 2, 232: 232, 10: 10, 242: 11, 11: 236, 0: 0, 2: 237, 233: 233}|( ),10
84|{3: 11, 237: 3, 236: 2, 232: 232, 10: 10, 242: 242, 11: 236, 0: 0, 2: 237, 233: 233}|( ),12
85|{3: 3, 237: 11, 236: 2, 232: 232, 10: 10, 242: 242, 11: 236, 0: 0, 2: 237, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -65 & a >= 0 } )|251
86|{3: 237, 237: 11, 236: 2, 232: 232, 10: 10, 242: 3, 11: 236, 0: 0, 2: 242, 233: 233}|( ),12
87|{3: 11, 237: 237, 236: 2, 232: 232, 10: 10, 242: 3, 11: 236, 0: 0, 2: 242, 233: 233}|( ),12
88|{3: 237, 237: 3, 236: 2, 232: 232, 10: 10, 242: 11, 11: 236, 0: 0, 2: 242, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } )|243
89|{3: 3, 237: 237, 236: 2, 232: 232, 10: 10, 242: 11, 11: 236, 0: 0, 2: 242, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } )|243
90|{3: 11, 237: 3, 236: 2, 232: 232, 10: 10, 242: 237, 11: 236, 0: 0, 2: 242, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } )|488
91|{3: 3, 237: 11, 236: 2, 232: 232, 10: 10, 242: 237, 11: 236, 0: 0, 2: 242, 233: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } )|14
92|{3: 242, 237: 237, 236: 3, 232: 232, 10: 10, 242: 11, 11: 236, 0: 0, 2: 2, 233: 233}|( ),12
93|{3: 237, 237: 242, 236: 3, 232: 232, 10: 10, 242: 11, 11: 236, 0: 0, 2: 2, 233: 233}|( ),12
94|{3: 242, 237: 11, 236: 3, 232: 232, 10: 10, 242: 237, 11: 236, 0: 0, 2: 2, 233: 233}|( ),12
95|{3: 11, 237: 242, 236: 3, 232: 232, 10: 10, 242: 237, 11: 236, 0: 0, 2: 2, 233: 233}|( ),12
96|{3: 237, 237: 11, 236: 3, 232: 232, 10: 10, 242: 242, 11: 236, 0: 0, 2: 2, 233: 233}|( ),12
97|{3: 11, 237: 237, 236: 3, 232: 232, 10: 10, 242: 242, 11: 236, 0: 0, 2: 2, 233: 233}|( ),12
98|{3: 242, 237: 237, 236: 3, 232: 232, 10: 10, 242: 2, 11: 236, 0: 0, 2: 11, 233: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|16
99|{3: 237, 237: 242, 236: 3, 232: 232, 10: 10, 242: 2, 11: 236, 0: 0, 2: 11, 233: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|18
100|{3: 242, 237: 2, 236: 3, 232: 232, 10: 10, 242: 237, 11: 236, 0: 0, 2: 11, 233: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } { t = 0 & -a + b > -63 & b >= 0 & a - b >= 1 } )|490
101|{3: 2, 237: 242, 236: 3, 232: 232, 10: 10, 242: 237, 11: 236, 0: 0, 2: 11, 233: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|16
102|{3: 237, 237: 2, 236: 3, 232: 232, 10: 10, 242: 242, 11: 236, 0: 0, 2: 11, 233: 233}|( { t = 0 & -a + b > -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|486
103|{3: 2, 237: 237, 236: 3, 232: 232, 10: 10, 242: 242, 11: 236, 0: 0, 2: 11, 233: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|16
104|{3: 242, 237: 11, 236: 3, 232: 232, 10: 10, 242: 2, 11: 236, 0: 0, 2: 237, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b > -61 & a >= 0 } )|490
105|{3: 11, 237: 242, 236: 3, 232: 232, 10: 10, 242: 2, 11: 236, 0: 0, 2: 237, 233: 233}|( ),14
106|{3: 242, 237: 2, 236: 3, 232: 232, 10: 10, 242: 11, 11: 236, 0: 0, 2: 237, 233: 233}|( ),12
107|{3: 2, 237: 242, 236: 3, 232: 232, 10: 10, 242: 11, 11: 236, 0: 0, 2: 237, 233: 233}|( ),14
108|{3: 11, 237: 2, 236: 3, 232: 232, 10: 10, 242: 242, 11: 236, 0: 0, 2: 237, 233: 233}|( ),12
109|{3: 2, 237: 11, 236: 3, 232: 232, 10: 10, 242: 242, 11: 236, 0: 0, 2: 237, 233: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a - b > -61 & a >= 0 } { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } )|486
110|{3: 237, 237: 11, 236: 3, 232: 232, 10: 10, 242: 2, 11: 236, 0: 0, 2: 242, 233: 233}|( ),12
111|{3: 11, 237: 237, 236: 3, 232: 232, 10: 10, 242: 2, 11: 236, 0: 0, 2: 242, 233: 233}|( ),12
112|{3: 237, 237: 2, 236: 3, 232: 232, 10: 10, 242: 11, 11: 236, 0: 0, 2: 242, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -65 & a >= 0 } )|496
113|{3: 2, 237: 237, 236: 3, 232: 232, 10: 10, 242: 11, 11: 236, 0: 0, 2: 242, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } )|478
